Logging sample_images_table to W&B with 50 images
Epoch 1/10 | val_loss=0.495109 | val_acc=0.874333
Epoch 2/10 | val_loss=0.358937 | val_acc=0.899333
Epoch 3/10 | val_loss=0.315743 | val_acc=0.912167
Epoch 4/10 | val_loss=0.290172 | val_acc=0.920333
Epoch 5/10 | val_loss=0.274276 | val_acc=0.921000
Epoch 6/10 | val_loss=0.257137 | val_acc=0.929667
Epoch 7/10 | val_loss=0.242212 | val_acc=0.933167
Epoch 8/10 | val_loss=0.230331 | val_acc=0.935000
Epoch 9/10 | val_loss=0.221385 | val_acc=0.939500
Epoch 10/10 | val_loss=0.210825 | val_acc=0.940167
Final test accuracy: 0.945300
