Logging sample_images_table to W&B with 50 images
Epoch 1/10 | val_loss=0.496306 | val_acc=0.871500
Epoch 2/10 | val_loss=0.367726 | val_acc=0.895500
Epoch 3/10 | val_loss=0.322387 | val_acc=0.911000
Epoch 4/10 | val_loss=0.296019 | val_acc=0.918500
Epoch 5/10 | val_loss=0.278940 | val_acc=0.923667
Epoch 6/10 | val_loss=0.262716 | val_acc=0.925667
Epoch 7/10 | val_loss=0.248944 | val_acc=0.929333
Epoch 8/10 | val_loss=0.235923 | val_acc=0.933500
Epoch 9/10 | val_loss=0.226070 | val_acc=0.938000
Epoch 10/10 | val_loss=0.216607 | val_acc=0.937833
Final test accuracy: 0.943600
