Epoch 1/10 | val_loss=0.141743 | val_acc=0.956167
Epoch 2/10 | val_loss=0.141686 | val_acc=0.957333
Epoch 3/10 | val_loss=0.117777 | val_acc=0.969167
Epoch 4/10 | val_loss=0.102288 | val_acc=0.973000
Epoch 5/10 | val_loss=0.098586 | val_acc=0.975000
Epoch 6/10 | val_loss=0.107866 | val_acc=0.976000
Epoch 7/10 | val_loss=0.120839 | val_acc=0.976333
Epoch 8/10 | val_loss=0.119401 | val_acc=0.975167
Epoch 9/10 | val_loss=0.135822 | val_acc=0.974833
Epoch 10/10 | val_loss=0.128878 | val_acc=0.974333
Final test accuracy: 0.977000
