Epoch 1/10 | val_loss=0.273888 | val_acc=0.919167 | first_layer_grad_norm=0.152329
Epoch 2/10 | val_loss=0.203405 | val_acc=0.939500 | first_layer_grad_norm=0.179962
Epoch 3/10 | val_loss=0.172516 | val_acc=0.948000 | first_layer_grad_norm=0.180151
Epoch 4/10 | val_loss=0.141344 | val_acc=0.956833 | first_layer_grad_norm=0.176740
Epoch 5/10 | val_loss=0.125585 | val_acc=0.962500 | first_layer_grad_norm=0.178083
Epoch 6/10 | val_loss=0.122726 | val_acc=0.961667 | first_layer_grad_norm=0.173169
Epoch 7/10 | val_loss=0.107775 | val_acc=0.968167 | first_layer_grad_norm=0.174450
Epoch 8/10 | val_loss=0.101948 | val_acc=0.971000 | first_layer_grad_norm=0.170501
Epoch 9/10 | val_loss=0.101269 | val_acc=0.970167 | first_layer_grad_norm=0.170020
Epoch 10/10 | val_loss=0.096339 | val_acc=0.971833 | first_layer_grad_norm=0.166252
Final test accuracy: 0.975600
