Epoch 1/10 | val_loss=0.174040 | val_acc=0.950667 | first_layer_grad_norm=0.727499
Epoch 2/10 | val_loss=0.120499 | val_acc=0.965833 | first_layer_grad_norm=0.633113
Epoch 3/10 | val_loss=0.100696 | val_acc=0.971000 | first_layer_grad_norm=0.600649
Epoch 4/10 | val_loss=0.109148 | val_acc=0.969333 | first_layer_grad_norm=0.581403
Epoch 5/10 | val_loss=0.102160 | val_acc=0.972500 | first_layer_grad_norm=0.559447
Epoch 6/10 | val_loss=0.113474 | val_acc=0.971833 | first_layer_grad_norm=0.521304
Epoch 7/10 | val_loss=0.113364 | val_acc=0.970333 | first_layer_grad_norm=0.499598
Epoch 8/10 | val_loss=0.104024 | val_acc=0.976000 | first_layer_grad_norm=0.480700
Epoch 9/10 | val_loss=0.120795 | val_acc=0.975333 | first_layer_grad_norm=0.449273
Epoch 10/10 | val_loss=0.123800 | val_acc=0.976667 | first_layer_grad_norm=0.416282
Final test accuracy: 0.977200
