Epoch 1/10 | val_loss=0.191128 | val_acc=0.942333 | first_layer_grad_norm=0.911132
Epoch 2/10 | val_loss=0.106321 | val_acc=0.968000 | first_layer_grad_norm=0.793859
Epoch 3/10 | val_loss=0.096679 | val_acc=0.972500 | first_layer_grad_norm=0.762549
Epoch 4/10 | val_loss=0.105529 | val_acc=0.972500 | first_layer_grad_norm=0.719117
Epoch 5/10 | val_loss=0.110076 | val_acc=0.973500 | first_layer_grad_norm=0.681867
Epoch 6/10 | val_loss=0.105463 | val_acc=0.972833 | first_layer_grad_norm=0.671336
Epoch 7/10 | val_loss=0.114128 | val_acc=0.975000 | first_layer_grad_norm=0.640347
Epoch 8/10 | val_loss=0.120300 | val_acc=0.976167 | first_layer_grad_norm=0.653141
Epoch 9/10 | val_loss=0.136868 | val_acc=0.974333 | first_layer_grad_norm=0.626242
Epoch 10/10 | val_loss=0.135402 | val_acc=0.977500 | first_layer_grad_norm=0.581796
Final test accuracy: 0.980400
