Epoch 1/10 | val_loss=0.152389 | val_acc=0.956333 | first_layer_grad_norm=0.896066
Epoch 2/10 | val_loss=0.119334 | val_acc=0.965500 | first_layer_grad_norm=0.783170
Epoch 3/10 | val_loss=0.123514 | val_acc=0.963000 | first_layer_grad_norm=0.754326
Epoch 4/10 | val_loss=0.116685 | val_acc=0.971333 | first_layer_grad_norm=0.710253
Epoch 5/10 | val_loss=0.098688 | val_acc=0.974833 | first_layer_grad_norm=0.703810
Epoch 6/10 | val_loss=0.127925 | val_acc=0.971333 | first_layer_grad_norm=0.650743
Epoch 7/10 | val_loss=0.135961 | val_acc=0.971833 | first_layer_grad_norm=0.623866
Epoch 8/10 | val_loss=0.118581 | val_acc=0.976833 | first_layer_grad_norm=0.612128
Epoch 9/10 | val_loss=0.137092 | val_acc=0.976500 | first_layer_grad_norm=0.596880
Epoch 10/10 | val_loss=0.190908 | val_acc=0.969000 | first_layer_grad_norm=0.562864
Final test accuracy: 0.971400
