Epoch 1/10 | val_loss=0.151401 | val_acc=0.954000 | first_layer_grad_norm=0.907389
Epoch 2/10 | val_loss=0.119934 | val_acc=0.965167 | first_layer_grad_norm=0.784163
Epoch 3/10 | val_loss=0.104077 | val_acc=0.969500 | first_layer_grad_norm=0.740323
Epoch 4/10 | val_loss=0.104371 | val_acc=0.972000 | first_layer_grad_norm=0.695481
Epoch 5/10 | val_loss=0.116565 | val_acc=0.971500 | first_layer_grad_norm=0.660263
Epoch 6/10 | val_loss=0.115575 | val_acc=0.973333 | first_layer_grad_norm=0.653095
Epoch 7/10 | val_loss=0.103784 | val_acc=0.978333 | first_layer_grad_norm=0.646022
Epoch 8/10 | val_loss=0.131588 | val_acc=0.977500 | first_layer_grad_norm=0.617890
Epoch 9/10 | val_loss=0.129007 | val_acc=0.978500 | first_layer_grad_norm=0.587125
Epoch 10/10 | val_loss=0.154604 | val_acc=0.974333 | first_layer_grad_norm=0.596900
Final test accuracy: 0.977800
